first_name,company_name,address,city,county,Phone1,phone,website,email,Tags,Year Founded
احمد الساعدي,Ahmed Al-saadey Office ,Albab Al-shearqi,Baghdad,Iraq,7903412128,7702555993,,,"
  Communications   ",0
Al- Bathera,Al- Bathera,Green Zone-Hay Al- Kindy,Baghdad,Iraq,7901914882,,www.maleknet.com, k.alwan@albathera.com,"
  Communications   ",0
Al- Malek Telecom,Al- Malek Telecom,Iraq,Baghdad,Iraq,7705338800,7901669131,www.maleknet.com, asama_tark@yahoo.com,"
  Communications   ",0
Al rrawasi Co.,Al rrawasi Co.,Hairthya,Baghdad,Iraq,7901991681,7902764687,,wkhadhum@arrawasi.com,"
  Communications   ",0
Al Rasan Company,Al Rasan Company,Zain Alabidine St,Najaf,Iraq,7905343169,7801280020,,E-mail: thaar_alrasan@yahoo.com,"
  Communications   ",0
Al-Akmar Al-iraqia communications.,Al-Akmar Al-iraqia communications.,Ake elnasara.,Baghdad,Iraq,7901343407,7705331160,,alakmar_aliraqia@yahoo.com,"
  Communications   ",0
Al-Aqssa Co.,Al-Aqssa Co.,Baghdad,Baghdad,Iraq,7904969925,7901919206,www.aqssa.co,aqssacc@gmail.com,"
  Communications   ",0
Al-Basha Telecom,Al-Basha Telecom,Erbil,Erbil,Iraq,7707888868,7504444415,, ahmedava@yahoo.com,"
  Communications   ",0
Ali Ghaere Office.,Ali Ghaere Office.,Saha  Al-tahrear.,Baghdad,Iraq,7901375498,7707992930,,alirrr66@yahoo.com,"
  Communications   ",0
Allai Newroz Telecom,Allai Newroz Telecom,Ankawa,Erbil,Iraq,964066131,964066121,www.newroztelecom.com,info@newroztelecom.com ,"
  Communications   ",0
Al-mahoo communications,Al-mahoo communications,Al-Arrsat.,Baghdad,Iraq,7715874899,7702630321,,mahootele@yahoo.com,"
  Communications   ",0
احمد الساعدي,Ahmed Al-saadey Office ,Albab Al-shearqi,Baghdad,Iraq,7903412128,7702555993,,,"
  Communications   ",0
Al- Bathera,Al- Bathera,Green Zone-Hay Al- Kindy,Baghdad,Iraq,7901914882,,www.maleknet.com, k.alwan@albathera.com,"
  Communications   ",0
Al- Malek Telecom,Al- Malek Telecom,Iraq,Baghdad,Iraq,7705338800,7901669131,www.maleknet.com, asama_tark@yahoo.com,"
  Communications   ",0
احمد الساعدي,Ahmed Al-saadey Office ,Albab Al-shearqi,Baghdad,Iraq,7903412128,7702555993,,,"
  Communications   ",0
Al- Bathera,Al- Bathera,Green Zone-Hay Al- Kindy,Baghdad,Iraq,7901914882,,www.maleknet.com, k.alwan@albathera.com,"
  Communications   ",0
Al- Malek Telecom,Al- Malek Telecom,Iraq,Baghdad,Iraq,7705338800,7901669131,www.maleknet.com, asama_tark@yahoo.com,"
  Communications   ",0
Al rrawasi Co.,Al rrawasi Co.,Hairthya,Baghdad,Iraq,7901991681,7902764687,,wkhadhum@arrawasi.com,"
  Communications   ",0
Al Rasan Company,Al Rasan Company,Zain Alabidine St,Najaf,Iraq,7905343169,7801280020,,E-mail: thaar_alrasan@yahoo.com,"
  Communications   ",0
Al-Akmar Al-iraqia communications.,Al-Akmar Al-iraqia communications.,Ake elnasara.,Baghdad,Iraq,7901343407,7705331160,,alakmar_aliraqia@yahoo.com,"
  Communications   ",0
Al-Aqssa Co.,Al-Aqssa Co.,Baghdad,Baghdad,Iraq,7904969925,7901919206,www.aqssa.co,aqssacc@gmail.com,"
  Communications   ",0
Al-Basha Telecom,Al-Basha Telecom,Erbil,Erbil,Iraq,7707888868,7504444415,, ahmedava@yahoo.com,"
  Communications   ",0
Ali Ghaere Office.,Ali Ghaere Office.,Saha  Al-tahrear.,Baghdad,Iraq,7901375498,7707992930,,alirrr66@yahoo.com,"
  Communications   ",0
Allai Newroz Telecom,Allai Newroz Telecom,Ankawa,Erbil,Iraq,964066131,964066121,www.newroztelecom.com,info@newroztelecom.com ,"
  Communications   ",0
Al-mahoo communications,Al-mahoo communications,Al-Arrsat.,Baghdad,Iraq,7715874899,7702630321,,mahootele@yahoo.com,"
  Communications   ",0
Al-sard Fiber communications Co.,Al-sard Fiber communications Co.,Almansoor,Baghdad,Iraq,7501213939,7501253333,www.alsardfiber.com,info@alsardfiber.com,"
  Communications   ",0
Al-Sultan Mobil,Al-Sultan Mobil,Zayouna-Al Rubaie St ,Baghdad,Iraq,7902616308,7703496666,,,"
  Communications   ",0
Al-waytani  communications Co.,Al-waytani  communications Co.,14 Ramdan,Baghdad,Iraq,7808659002,7901418384,,,"
  Communications   ",0
Asia Cell,Asia Cell, Al-Mansour ,Baghdad,Iraq,7701115121,7701195808,www.asiacell.com,marketingdirector@asiacell.com,"
  Communications   ",0
Aso Kurdistan Telecom,Aso Kurdistan Telecom,100th m St,Erbil,Iraq,7504652801,,www.aso-telecom.com,info@aso-telecom.com,"
  Communications   ",0
Baraq Cell Co,Baraq Cell Co,Sadoon,Baghdad,Iraq,7901348635,,,,"
  Communications   ",0
Betel co,Betel co,60 m St.,Erbil,Iraq,7504452230,,www.betel-net.com,info@betel-net.com,"
  Communications   ",0
Cis  Erbil co,Cis  Erbil co,Italian Village,Erbil,Iraq,7508992060,7508992050,www.groupcis.com,tony@ciserbil.com,"
  Communications   ",0
City Telecom Mobile co,City Telecom Mobile co,Karada,Baghdad,Iraq,7806809511,7700135555,www.city-telecom.com,info@city-telecom.com,"
  Communications   ",0
Communica Telecommunication,Communica Telecommunication,Iraq,Baghdad,Iraq,7701537420,7705482299,www.communicanet.com,farman@communicanet.com,"
  Communications   ",0
Delta Communications,Delta Communications,30thm St,Erbil,Iraq,7507960448,7507150044,www.deltairaq.net, info@deltairaq.net,"
  Communications   ",0
Earth Link communicationsCo.,Earth Link communicationsCo.,Karada Hwaidi St,Baghdad,Iraq,7810594688,7801997898,www.earthlinktele.com,sales@earthlinktele.com,"
  Communications   ",0
Electra Net communications,Electra Net communications,Ankawa St,Erbil,Iraq,7508173898,,www.electranetuk.com,mike.fleming@electranetuk.com,"
  Communications   ",0
Euro Communication,Euro Communication,Erbil,Erbil,Iraq,7710171017,7507958437,, Iraq_vkv@mail.ru,"
  Communications   ",0
Fanoos Telecom,Fanoos Telecom,Salim St,Sulaymaniyah,Iraq,7480001874,,www.fanoostelecom.com,,"
  Communications   ",0
